,key,year,state_abbr,state,ethnicity,percentage
173,2015ND,2015,ND,North Dakota,Other,N/A
174,2015NE,2015,NE,Nebraska,Black,0.0
175,2015NE,2015,NE,Nebraska,White,0.14285714285714285
176,2015NE,2015,NE,Nebraska,Asian,N/A
177,2015NE,2015,NE,Nebraska,Hispanic,N/A
178,2015NE,2015,NE,Nebraska,Native,N/A
179,2015NE,2015,NE,Nebraska,Other,N/A
180,2015NH,2015,NH,New Hampshire,Black,N/A
181,2015NH,2015,NH,New Hampshire,White,0.0
182,2015NH,2015,NH,New Hampshire,Asian,N/A
183,2015NH,2015,NH,New Hampshire,Hispanic,N/A
184,2015NH,2015,NH,New Hampshire,Native,N/A
185,2015NH,2015,NH,New Hampshire,Other,N/A
186,2015NJ,2015,NJ,New Jersey,Black,0.0
187,2015NJ,2015,NJ,New Jersey,White,0.0
188,2015NJ,2015,NJ,New Jersey,Asian,N/A
189,2015NJ,2015,NJ,New Jersey,Hispanic,0.0
190,2015NJ,2015,NJ,New Jersey,Native,N/A
191,2015NJ,2015,NJ,New Jersey,Other,N/A
192,2015NM,2015,NM,New Mexico,Black,N/A
193,2015NM,2015,NM,New Mexico,White,0.0
194,2015NM,2015,NM,New Mexico,Asian,N/A
195,2015NM,2015,NM,New Mexico,Hispanic,0.09090909090909091
196,2015NM,2015,NM,New Mexico,Native,N/A
197,2015NM,2015,NM,New Mexico,Other,N/A
198,2015NV,2015,NV,Nevada,Black,0.3333333333333333
199,2015NV,2015,NV,Nevada,White,0.0
200,2015NV,2015,NV,Nevada,Asian,N/A
201,2015NV,2015,NV,Nevada,Hispanic,0.0
202,2015NV,2015,NV,Nevada,Native,N/A
203,2015NV,2015,NV,Nevada,Other,N/A
204,2015NY,2015,NY,New York,Black,0.375
205,2015NY,2015,NY,New York,White,0.0
206,2015NY,2015,NY,New York,Asian,0.0
207,2015NY,2015,NY,New York,Hispanic,N/A
208,2015NY,2015,NY,New York,Native,N/A
209,2015NY,2015,NY,New York,Other,N/A
210,2015OH,2015,OH,Ohio,Black,0.15384615384615385
211,2015OH,2015,OH,Ohio,White,0.14285714285714285
212,2015OH,2015,OH,Ohio,Asian,N/A
213,2015OH,2015,OH,Ohio,Hispanic,N/A
214,2015OH,2015,OH,Ohio,Native,N/A
215,2015OH,2015,OH,Ohio,Other,1.0
216,2015OK,2015,OK,Oklahoma,Black,0.1111111111111111
217,2015OK,2015,OK,Oklahoma,White,0.15
218,2015OK,2015,OK,Oklahoma,Asian,N/A
219,2015OK,2015,OK,Oklahoma,Hispanic,0.0
220,2015OK,2015,OK,Oklahoma,Native,N/A
221,2015OK,2015,OK,Oklahoma,Other,N/A
222,2015OR,2015,OR,Oregon,Black,0.0
223,2015OR,2015,OR,Oregon,White,0.0
224,2015OR,2015,OR,Oregon,Asian,N/A
225,2015OR,2015,OR,Oregon,Hispanic,N/A
226,2015OR,2015,OR,Oregon,Native,N/A
227,2015OR,2015,OR,Oregon,Other,N/A
228,2015PA,2015,PA,Pennsylvania,Black,0.0
229,2015PA,2015,PA,Pennsylvania,White,0.125
230,2015PA,2015,PA,Pennsylvania,Asian,N/A
231,2015PA,2015,PA,Pennsylvania,Hispanic,1.0
232,2015PA,2015,PA,Pennsylvania,Native,N/A
233,2015PA,2015,PA,Pennsylvania,Other,N/A
234,2015RI,2015,RI,Rhode Island,Black,N/A
235,2015RI,2015,RI,Rhode Island,White,N/A
236,2015RI,2015,RI,Rhode Island,Asian,N/A
237,2015RI,2015,RI,Rhode Island,Hispanic,N/A
238,2015RI,2015,RI,Rhode Island,Native,N/A
239,2015RI,2015,RI,Rhode Island,Other,N/A
240,2015SC,2015,SC,South Carolina,Black,0.1111111111111111
241,2015SC,2015,SC,South Carolina,White,0.0
242,2015SC,2015,SC,South Carolina,Asian,N/A
243,2015SC,2015,SC,South Carolina,Hispanic,N/A
244,2015SC,2015,SC,South Carolina,Native,N/A
245,2015SC,2015,SC,South Carolina,Other,N/A
246,2015SD,2015,SD,South Dakota,Black,N/A
247,2015SD,2015,SD,South Dakota,White,0.0
248,2015SD,2015,SD,South Dakota,Asian,N/A
249,2015SD,2015,SD,South Dakota,Hispanic,N/A
250,2015SD,2015,SD,South Dakota,Native,0.0
251,2015SD,2015,SD,South Dakota,Other,N/A
252,2015TN,2015,TN,Tennessee,Black,0.25
253,2015TN,2015,TN,Tennessee,White,0.0
254,2015TN,2015,TN,Tennessee,Asian,N/A
255,2015TN,2015,TN,Tennessee,Hispanic,0.0
256,2015TN,2015,TN,Tennessee,Native,N/A
257,2015TN,2015,TN,Tennessee,Other,0.0
258,2015TX,2015,TX,Texas,Black,0.10526315789473684
259,2015TX,2015,TX,Texas,White,0.043478260869565216
260,2015TX,2015,TX,Texas,Asian,0.0
261,2015TX,2015,TX,Texas,Hispanic,0.0625
262,2015TX,2015,TX,Texas,Native,N/A
263,2015TX,2015,TX,Texas,Other,0.0
264,2015UT,2015,UT,Utah,Black,N/A
265,2015UT,2015,UT,Utah,White,0.0
266,2015UT,2015,UT,Utah,Asian,N/A
267,2015UT,2015,UT,Utah,Hispanic,N/A
268,2015UT,2015,UT,Utah,Native,N/A
269,2015UT,2015,UT,Utah,Other,0.0
270,2015VA,2015,VA,Virginia,Black,0.2
271,2015VA,2015,VA,Virginia,White,0.0
272,2015VA,2015,VA,Virginia,Asian,N/A
