,key,year,state,Asian_proportion,Black_proportion,Hispanic_proportion,Native_proportion,Other_proportion,White_proportion
194,2018SD,2018,SD,N/A,N/A,N/A,N/A,N/A,0.0
195,2018TN,2018,TN,N/A,0.0,0.0,N/A,N/A,0.0
196,2018TX,2018,TX,0.0,0.25,0.06666666666666667,N/A,N/A,0.043478260869565216
197,2018UT,2018,UT,N/A,0.0,0.0,0.0,N/A,0.1111111111111111
198,2018VA,2018,VA,N/A,0.25,N/A,N/A,N/A,0.0
199,2018VT,2018,VT,N/A,N/A,N/A,N/A,N/A,0.0
200,2018WA,2018,WA,0.0,N/A,0.0,N/A,N/A,0.08333333333333333
201,2018WI,2018,WI,N/A,0.0,N/A,0.0,N/A,0.0
202,2018WV,2018,WV,N/A,0.0,N/A,N/A,N/A,0.0
203,2018WY,2018,WY,N/A,N/A,1.0,N/A,N/A,0.0
204,2019AK,2019,AK,N/A,0.0,N/A,0.0,N/A,0.0
205,2019AL,2019,AL,N/A,0.0,N/A,N/A,N/A,0.0
206,2019AR,2019,AR,N/A,0.125,N/A,N/A,N/A,0.0
207,2019AZ,2019,AZ,N/A,0.0,0.11764705882352941,0.0,N/A,0.1111111111111111
208,2019CA,2019,CA,0.14285714285714285,0.041666666666666664,0.06666666666666667,0.0,N/A,0.12121212121212122
209,2019CO,2019,CO,N/A,0.0,0.08333333333333333,N/A,N/A,0.06666666666666667
210,2019CT,2019,CT,N/A,0.0,0.0,N/A,N/A,1.0
211,2019DC,2019,DC,N/A,0.0,N/A,N/A,N/A,N/A
212,2019DE,2019,DE,N/A,N/A,N/A,N/A,N/A,N/A
213,2019FL,2019,FL,N/A,0.0,0.0,N/A,0.0,0.0
214,2019GA,2019,GA,0.0,0.1111111111111111,0.0,N/A,N/A,0.125
215,2019HI,2019,HI,1.0,N/A,N/A,N/A,0.0,0.0
216,2019IA,2019,IA,N/A,0.0,N/A,N/A,N/A,0.0
217,2019ID,2019,ID,N/A,N/A,0.0,N/A,N/A,0.0
218,2019IL,2019,IL,N/A,0.0,0.0,N/A,N/A,0.0
219,2019IN,2019,IN,N/A,0.0,N/A,N/A,N/A,0.0
220,2019KS,2019,KS,N/A,0.0,N/A,N/A,N/A,0.0
221,2019KY,2019,KY,N/A,0.0,N/A,N/A,N/A,0.0
222,2019LA,2019,LA,N/A,0.17647058823529413,N/A,N/A,N/A,0.0
223,2019MA,2019,MA,N/A,0.0,0.0,N/A,0.0,N/A
224,2019MD,2019,MD,N/A,0.1,0.0,N/A,N/A,0.0
225,2019ME,2019,ME,N/A,N/A,0.0,N/A,N/A,0.0
226,2019MI,2019,MI,N/A,0.3333333333333333,0.0,N/A,N/A,0.14285714285714285
227,2019MN,2019,MN,0.0,0.0,0.0,0.0,0.0,0.25
228,2019MO,2019,MO,N/A,0.0,0.0,N/A,N/A,0.16666666666666666
229,2019MS,2019,MS,0.0,0.0,N/A,N/A,N/A,0.0
230,2019MT,2019,MT,N/A,N/A,N/A,N/A,N/A,0.0
231,2019NC,2019,NC,N/A,0.0,0.0,N/A,N/A,0.05555555555555555
232,2019ND,2019,ND,N/A,N/A,N/A,N/A,N/A,N/A
233,2019NE,2019,NE,N/A,0.0,0.0,0.0,N/A,0.0
234,2019NH,2019,NH,N/A,N/A,N/A,N/A,N/A,0.0
235,2019NJ,2019,NJ,N/A,0.16666666666666666,0.0,N/A,N/A,0.0
236,2019NM,2019,NM,N/A,N/A,0.0,0.0,N/A,0.0
237,2019NV,2019,NV,N/A,0.0,0.25,N/A,N/A,0.0
238,2019NY,2019,NY,N/A,0.0,0.0,N/A,N/A,0.16666666666666666
239,2019OH,2019,OH,N/A,0.0,N/A,N/A,0.0,0.07692307692307693
240,2019OK,2019,OK,N/A,0.1,0.0,0.5,N/A,0.0
241,2019OR,2019,OR,N/A,0.0,0.5,N/A,N/A,0.0
242,2019PA,2019,PA,N/A,0.0,N/A,N/A,N/A,0.0
243,2019RI,2019,RI,N/A,N/A,N/A,N/A,N/A,N/A
244,2019SC,2019,SC,N/A,0.0,N/A,N/A,N/A,0.0
245,2019SD,2019,SD,N/A,N/A,N/A,0.0,N/A,0.0
246,2019TN,2019,TN,N/A,0.1111111111111111,N/A,N/A,N/A,0.0
247,2019TX,2019,TX,0.0,0.14285714285714285,0.07692307692307693,N/A,N/A,0.13157894736842105
248,2019UT,2019,UT,N/A,0.0,0.0,N/A,N/A,0.16666666666666666
249,2019VA,2019,VA,N/A,0.0,N/A,N/A,N/A,0.0
250,2019VT,2019,VT,N/A,N/A,N/A,N/A,N/A,0.0
251,2019WA,2019,WA,0.5,0.0,0.125,0.0,N/A,0.09090909090909091
252,2019WI,2019,WI,0.0,0.0,0.0,N/A,N/A,0.1
253,2019WV,2019,WV,0.0,0.0,N/A,N/A,N/A,0.1111111111111111
254,2019WY,2019,WY,N/A,N/A,N/A,0.0,N/A,N/A
