manner_of_death,armed,age,gender,race,city,state,flee,body_camera,arms_category,year
shot,gun,53,M,Asian,Shelton,WA,Not fleeing,FALSE,Guns,2015
shot,gun,47,M,White,Aloha,OR,Not fleeing,FALSE,Guns,2015
shot and Tasered,unarmed,23,M,Hispanic,Wichita,KS,Not fleeing,FALSE,Unarmed,2015
shot,toy weapon,32,M,White,San Francisco,CA,Not fleeing,FALSE,Other unusual objects,2015
shot,nail gun,39,M,Hispanic,Evans,CO,Not fleeing,FALSE,Piercing objects,2015
shot,gun,18,M,White,Guthrie,OK,Not fleeing,FALSE,Guns,2015
shot,gun,22,M,Hispanic,Chandler,AZ,Car,FALSE,Guns,2015
shot,gun,35,M,White,Assaria,KS,Not fleeing,FALSE,Guns,2015
shot,unarmed,34,F,White,Burlington,IA,Not fleeing,TRUE,Unarmed,2015
shot,toy weapon,47,M,Black,Knoxville,PA,Not fleeing,FALSE,Other unusual objects,2015
shot and Tasered,knife,25,M,White,Stockton,CA,Not fleeing,FALSE,Sharp objects,2015
shot,gun,31,M,Black,Freeport,TX,Not fleeing,FALSE,Guns,2015
shot,knife,41,M,Black,Columbus,OH,Not fleeing,FALSE,Sharp objects,2015
shot,gun,30,M,White,Des Moines,IA,Car,FALSE,Guns,2015
shot,gun,37,M,Black,New Orleans,LA,Foot,TRUE,Guns,2015
shot,unknown,28,M,White,Huntley,MT,Not fleeing,FALSE,Unknown,2015
shot,shovel,42,M,White,Salt Lake City,UT,Not fleeing,TRUE,Blunt instruments,2015
shot,unarmed,36,M,Black,Strong,AR,Not fleeing,FALSE,Unarmed,2015
shot,gun,49,M,White,Syracuse,UT,Not fleeing,TRUE,Guns,2015
shot,gun,71,M,White,England,AR,Not fleeing,FALSE,Guns,2015
shot,gun,33,M,Hispanic,El Paso,TX,Not fleeing,FALSE,Guns,2015
shot,gun,39,M,White,Arcola,IL,Not fleeing,FALSE,Guns,2015
shot,gun,23,M,Hispanic,South Gate,CA,Not fleeing,FALSE,Guns,2015
shot and Tasered,gun,29,M,Hispanic,North Las Vegas,NV,Foot,FALSE,Guns,2015
shot,gun,34,M,White,Albuquerque,NM,Foot,TRUE,Guns,2015
shot,knife,43,M,White,Jourdanton,TX,Not fleeing,FALSE,Sharp objects,2015
shot,unknown,24,M,Black,St. Paul,MN,Not fleeing,FALSE,Unknown,2015
shot,unknown,29,M,White,Franklin County,MO,Not fleeing,FALSE,Unknown,2015
shot,gun,34,M,Black,Chesapeake,VA,Not fleeing,FALSE,Guns,2015
shot,knife,75,M,White,Old Bridge,NJ,Not fleeing,FALSE,Sharp objects,2015
shot,gun,68,M,White,Lake Jackson,TX,Not fleeing,FALSE,Guns,2015
shot,knife,34,M,White,Draper,UT,Not fleeing,TRUE,Sharp objects,2015
shot,gun,27,M,Black,Indianapolis,IN,Foot,FALSE,Guns,2015
shot,gun,39,M,Black,Aurora,CO,Not fleeing,FALSE,Guns,2015
shot,gun,24,M,White,Bloomington,MN,Not fleeing,FALSE,Guns,2015
shot,knife,36,M,Hispanic,Fairfield,CA,Not fleeing,FALSE,Sharp objects,2015
shot,gun,33,M,White,Evangeline Parish,LA,Not fleeing,FALSE,Guns,2015
shot,gun,41,M,White,Mabank,TX,Car,FALSE,Guns,2015
shot and Tasered,knife,48,M,Other,Fremont,CA,Not fleeing,FALSE,Sharp objects,2015
shot,gun,21,M,Black,Muskogee,OK,Foot,TRUE,Guns,2015
shot,gun,24,M,Hispanic,Los Angeles,CA,Not fleeing,FALSE,Guns,2015
shot,knife,27,M,Hispanic,Fort Worth,TX,Not fleeing,FALSE,Sharp objects,2015
shot,gun,32,M,White,Maricopa,AZ,Not fleeing,FALSE,Guns,2015
shot and Tasered,gun,67,M,White,Gunlock,KY,Not fleeing,FALSE,Guns,2015
shot,knife,49,M,White,Weymouth,MA,Not fleeing,FALSE,Sharp objects,2015
shot,unknown,42,M,Black,Scottsdale,AZ,Car,FALSE,Unknown,2015
shot,gun,36,M,White,Hemet,CA,Not fleeing,FALSE,Guns,2015
shot,gun,36,M,Hispanic,Chapeno,TX,Foot,FALSE,Guns,2015
shot,gun,19,M,Black,St. Louis,MO,Not fleeing,FALSE,Guns,2015
shot,gun,54,M,White,Derry,NH,Not fleeing,FALSE,Guns,2015
shot,toy weapon,25,M,Black,Sierra Blanca,TX,Car,FALSE,Other unusual objects,2015
shot and Tasered,knife,17,F,White,Longview,TX,Not fleeing,FALSE,Sharp objects,2015
shot,unknown,29,M,Black,Fort Lauderdale,FL,Not fleeing,FALSE,Unknown,2015
shot,knife,56,M,Hispanic,Levelland,TX,Not fleeing,FALSE,Sharp objects,2015
shot,gun,61,M,White,Austin,TX,Not fleeing,FALSE,Guns,2015
shot,gun,45,M,White,Rexburg,ID,Not fleeing,FALSE,Guns,2015
shot,knife,26,M,Black,Baltimore,MD,Not fleeing,FALSE,Sharp objects,2015
shot,gun,40,M,White,Fort Worth,TX,Not fleeing,FALSE,Guns,2015
shot,gun,26,M,Hispanic,Pueblo,CO,Car,FALSE,Guns,2015
shot,unknown,17,F,Hispanic,Denver,CO,Not fleeing,FALSE,Unknown,2015
shot,gun,68,M,White,New Hope,MN,Not fleeing,FALSE,Guns,2015
shot,unarmed,24,M,Hispanic,Tahoka,TX,Car,FALSE,Unarmed,2015
shot,knife,34,M,Hispanic,Wasco,CA,Not fleeing,FALSE,Sharp objects,2015
shot,knife,39,F,White,Omaha,NE,Not fleeing,FALSE,Sharp objects,2015
shot,unknown,26,M,Native,Phoenix,AZ,Not fleeing,FALSE,Unknown,2015
shot,gun,29,M,White,Morenci,AZ,Not fleeing,FALSE,Guns,2015
shot,gun,33,M,Black,Columbus,OH,Not fleeing,FALSE,Guns,2015
shot,gun,45,M,White,Sunset,TX,Not fleeing,FALSE,Guns,2015
shot,gun,26,M,White,Rosenberg,TX,Not fleeing,FALSE,Guns,2015
shot and Tasered,hammer,35,M,Asian,Stockton,CA,Not fleeing,FALSE,Blunt instruments,2015
shot,gun,31,M,White,Wyoming,MI,Not fleeing,FALSE,Guns,2015
shot,unarmed,42,M,White,Stillwater,OK,Foot,FALSE,Unarmed,2015
shot,gun,48,M,White,Billings,MT,Foot,FALSE,Guns,2015
shot,gun,31,M,Hispanic,Houston,TX,Not fleeing,FALSE,Guns,2015
shot and Tasered,knife,54,M,Black,Randallstown,MD,Not fleeing,FALSE,Sharp objects,2015
shot,unarmed,59,M,White,Hummelstown,PA,Foot,FALSE,Unarmed,2015
shot,gun,42,M,White,Apple Valley,CA,Not fleeing,FALSE,Guns,2015
shot,gun,17,M,White,Bay City,MI,Not fleeing,FALSE,Guns,2015
shot,gun,23,M,Black,St. Louis,MO,Foot,FALSE,Guns,2015
shot,gun,38,F,Black,Emeryville,CA,Car,FALSE,Guns,2015
shot,knife,29,M,Black,Antioch,CA,Not fleeing,FALSE,Sharp objects,2015
shot,gun,45,M,White,Douglas,GA,Not fleeing,FALSE,Guns,2015
shot,unarmed,28,M,Black,Tallahassee,FL,Not fleeing,FALSE,Unarmed,2015
shot,gun,37,M,Hispanic,Orlando,FL,Not fleeing,FALSE,Guns,2015
shot,gun,28,M,Hispanic,Tempe,AZ,Car,FALSE,Guns,2015
shot,unarmed,28,M,Hispanic,Tempe,AZ,Not fleeing,FALSE,Unarmed,2015
shot,gun,51,M,Black,Lorena,TX,Car,FALSE,Guns,2015
shot,knife,36,M,Black,Memphis,TN,Not fleeing,FALSE,Sharp objects,2015
shot,gun,59,M,White,Chino,CA,Car,FALSE,Guns,2015
shot,gun,25,M,Black,Oklahoma City,OK,Not fleeing,FALSE,Guns,2015
shot,toy weapon,26,M,White,Calimesa,CA,Not fleeing,FALSE,Other unusual objects,2015
shot,gun,74,M,Black,Gastonia,NC,Not fleeing,FALSE,Guns,2015
shot,gun,33,M,White,Anchorage,AK,Car,FALSE,Guns,2015
shot,gun,27,M,White,Austin,TX,Not fleeing,FALSE,Guns,2015
shot,gun,57,M,White,New City,NY,Not fleeing,FALSE,Guns,2015
shot,gun,46,M,White,Orange County,FL,Not fleeing,FALSE,Guns,2015
shot,gun,41,M,White,Nocona,TX,Not fleeing,FALSE,Guns,2015
shot,gun,61,M,White,Smyrna,ME,Not fleeing,FALSE,Guns,2015
shot,gun,45,M,Black,Dallas,TX,Not fleeing,FALSE,Guns,2015
shot,gun,49,M,Black,Whitehaven,TN,Not fleeing,FALSE,Guns,2015
shot,gun,45,M,White,New Castle,CO,Car,FALSE,Guns,2015
shot and Tasered,unarmed,35,M,Hispanic,Pasco,WA,Foot,FALSE,Unarmed,2015
shot,knife,23,M,Black,San Jose,CA,Not fleeing,FALSE,Sharp objects,2015
shot,toy weapon,46,M,White,Dadeville,AL,Foot,TRUE,Other unusual objects,2015
shot,unknown,23,M,White,San Bernardino,CA,Car,FALSE,Unknown,2015
shot,gun,21,M,Hispanic,Kansas City,KS,Car,FALSE,Guns,2015
shot,unarmed,35,M,Hispanic,Reading,PA,Not fleeing,FALSE,Unarmed,2015
shot,gun,27,M,White,McLemoresville,TN,Not fleeing,FALSE,Guns,2015
shot,knife,37,M,Hispanic,San Manuel,AZ,Not fleeing,FALSE,Sharp objects,2015
shot,gun,16,M,White,Essex,MD,Car,FALSE,Guns,2015
shot,gun,51,M,White,Laredo,TX,Not fleeing,FALSE,Guns,2015
shot,gun,34,M,White,Iuka,MS,Foot,FALSE,Guns,2015
shot,hatchet,34,M,White,Colton,OR,Not fleeing,FALSE,Blunt instruments,2015
shot and Tasered,unarmed,25,M,Black,Miami Gardens,FL,Not fleeing,FALSE,Unarmed,2015
shot,gun,56,M,White,Marana,AZ,Not fleeing,FALSE,Guns,2015
shot,gun,26,M,White,Boise,ID,Not fleeing,FALSE,Guns,2015
shot,toy weapon,24,M,White,Provo,UT,Not fleeing,FALSE,Other unusual objects,2015
shot,gun,43,F,White,Gaston County,NC,Not fleeing,FALSE,Guns,2015
shot,unarmed,31,M,White,Springfield,MO,Foot,FALSE,Unarmed,2015
shot,gun,32,M,White,Eaton Rapids Township,MI,Not fleeing,FALSE,Guns,2015
shot,toy weapon,30,M,White,Tewksbury,MA,Foot,FALSE,Other unusual objects,2015
shot,unknown,50,M,Hispanic,Del Rio,TX,Not fleeing,FALSE,Unknown,2015
shot,unknown,20,F,Black,Charlotte,NC,Not fleeing,FALSE,Unknown,2015
shot,unarmed,31,M,Hispanic,Euless,TX,Not fleeing,FALSE,Unarmed,2015
shot,gun,38,M,Black,Homewood,AL,Not fleeing,FALSE,Guns,2015
shot,gun,77,M,Black,Birmingham,AL,Not fleeing,FALSE,Guns,2015
shot,gun,37.1179309,M,Hispanic,Houston,TX,Car,FALSE,Guns,2015
shot,gun,41,M,White,Ruidoso,NM,Not fleeing,FALSE,Guns,2015
shot,knife,51,M,White,Indianapolis,IN,Not fleeing,FALSE,Sharp objects,2015
shot,gun,50,M,White,Palm Bay,FL,Not fleeing,FALSE,Guns,2015
shot,gun,47,M,White,Denham Springs,LA,Not fleeing,FALSE,Guns,2015
shot,knife,37,M,White,Powder Springs,GA,Not fleeing,FALSE,Sharp objects,2015
shot,gun,41,M,White,Clarkesville,GA,Foot,FALSE,Guns,2015
shot,gun,16,M,Black,Millbrook,AL,Not fleeing,FALSE,Guns,2015
shot and Tasered,knife,42,M,White,Allentown,PA,Car,FALSE,Sharp objects,2015
shot and Tasered,unarmed,39,M,White,Omaha,NE,Not fleeing,FALSE,Unarmed,2015
shot and Tasered,knife,30,M,White,Green Bay,WI,Not fleeing,FALSE,Sharp objects,2015
shot,unknown,27,M,Black,Oklahoma City,OK,Car,FALSE,Unknown,2015
shot,gun,43,M,White,Las Vegas,NV,Not fleeing,FALSE,Guns,2015
shot,gun,42,M,Hispanic,Lakeland,FL,Foot,FALSE,Guns,2015
shot,knife,21,M,Hispanic,San Francisco,CA,Not fleeing,FALSE,Sharp objects,2015
shot,unarmed,49,M,White,Gulfport,MS,Not fleeing,FALSE,Unarmed,2015
shot,gun,34,F,White,Sylvester,GA,Car,FALSE,Guns,2015
shot and Tasered,unarmed,31,M,White,Terre Haute,IN,Not fleeing,FALSE,Unarmed,2015
shot,unarmed,27,M,Hispanic,Santa Ana,CA,Not fleeing,FALSE,Unarmed,2015
shot,gun,24,M,White,Pelzer,SC,Not fleeing,FALSE,Guns,2015
shot,unarmed,34,M,Black,St Louis,MO,Car,FALSE,Unarmed,2015
shot,knife,28,F,Hispanic,Tucson,AZ,Not fleeing,FALSE,Sharp objects,2015
shot,gun,28,M,Black,Columbia,MO,Car,FALSE,Guns,2015
shot,gun,40,M,Black,Tarboro,NC,Car,FALSE,Guns,2015
shot,gun,37,F,White,La Paz County,AZ,Car,FALSE,Guns,2015
shot and Tasered,unarmed,17,M,White,Roxand Township,MI,Not fleeing,TRUE,Unarmed,2015
shot,gun,35,M,Asian,Houston,TX,Not fleeing,FALSE,Guns,2015
shot,gun,49,M,White,Barton,MS,Not fleeing,FALSE,Guns,2015
shot and Tasered,unarmed,43,M,Black,Los Angeles,CA,Not fleeing,TRUE,Unarmed,2015
shot,gun,20,M,Black,Joilet,IL,Foot,FALSE,Guns,2015
shot,gun,25,M,Black,Salisbury,MD,Not fleeing,FALSE,Guns,2015
shot,knife,25,M,White,Tempe,AZ,Not fleeing,FALSE,Sharp objects,2015
shot,unarmed,26,M,White,Deltona,FL,Not fleeing,FALSE,Unarmed,2015
shot,gun,28,M,Asian,Stockton,CA,Not fleeing,FALSE,Guns,2015
shot,knife,45,M,Black,Milwaukee,WI,Not fleeing,FALSE,Sharp objects,2015
shot,unarmed,36,M,Hispanic,Burbank,CA,Car,FALSE,Unarmed,2015
shot,gun,34,M,White,Lincoln,NE,Not fleeing,FALSE,Guns,2015
shot,unarmed,19,M,Black,Madison,WI,Foot,FALSE,Unarmed,2015
shot,unarmed,37,M,Black,Aurora,CO,Foot,FALSE,Unarmed,2015
shot,unknown,48,M,Black,Putnam Hall,FL,Not fleeing,FALSE,Unknown,2015
shot,gun,29,M,White,Phoenix,AZ,Not fleeing,FALSE,Guns,2015
shot,knife,43,F,Black,Anaheim,CA,Not fleeing,TRUE,Sharp objects,2015
shot,gun,40,M,Hispanic,Oklahoma City,OK,Not fleeing,FALSE,Guns,2015
shot,unknown,35,M,White,Claymont,DE,Car,FALSE,Unknown,2015
shot,unarmed,27,M,Black,Atlanta,GA,Not fleeing,FALSE,Unarmed,2015
shot,gun,58,M,White,Brevard,NC,Not fleeing,FALSE,Guns,2015
shot,gun,46,M,White,Dinosaur,CO,Not fleeing,FALSE,Guns,2015
shot,gun,30,M,Black,Cocoa,FL,Not fleeing,FALSE,Guns,2015
shot,gun,64,M,Black,Cleveland,OH,Not fleeing,TRUE,Guns,2015
shot,gun,31,M,Black,Baton Rouge,LA,Not fleeing,FALSE,Guns,2015
shot,knife,23,M,White,Port Wentworth,GA,Not fleeing,TRUE,Sharp objects,2015
shot,sword,37,M,Hispanic,Ontario,CA,Car,FALSE,Sharp objects,2015
shot,unknown,37,M,Black,Elkton,MD,Not fleeing,FALSE,Unknown,2015
shot,gun,31,M,White,Memphis,TN,Not fleeing,FALSE,Guns,2015
shot,gun,39,M,Hispanic,Santa Ana,CA,Not fleeing,FALSE,Guns,2015
shot,toy weapon,31,M,White,Kingman,AZ,Not fleeing,FALSE,Other unusual objects,2015
shot,gun,54,M,White,Bay Minette,AL,Not fleeing,FALSE,Guns,2015
shot,gun,53,M,White,Hoover,AL,Not fleeing,FALSE,Guns,2015
shot,unknown,25,M,Hispanic,Los Angeles,CA,Not fleeing,FALSE,Unknown,2015
shot,unarmed,35,M,Black,Washington,DC,Not fleeing,FALSE,Unarmed,2015
shot,gun,41,M,Hispanic,Napa,CA,Other,FALSE,Guns,2015
shot,gun,59,M,White,Kansas City,MO,Not fleeing,FALSE,Guns,2015
shot,knife,36,M,White,Fontana,CA,Not fleeing,FALSE,Sharp objects,2015
shot,unarmed,32,M,Hispanic,Walnut Creek,CA,Foot,FALSE,Unarmed,2015
shot,knife,53,M,White,Follansbee,WV,Not fleeing,FALSE,Sharp objects,2015
shot,gun,26,M,White,Kenosha,WI,Car,FALSE,Guns,2015
shot,gun,29,M,Hispanic,San Antonio,TX,Not fleeing,FALSE,Guns,2015
shot,machete,27,M,White,Ruth,MS,Not fleeing,FALSE,Sharp objects,2015
shot,gun,28,M,White,St. Paul,MN,Not fleeing,FALSE,Guns,2015
shot,gun,52,M,White,Gastonia,NC,Not fleeing,FALSE,Guns,2015
shot,gun,49,M,White,Medford,OR,Not fleeing,FALSE,Guns,2015
shot,gun,24,M,White,Dublin,NC,Foot,FALSE,Guns,2015
shot,unknown,24,F,White,San Francisco,CA,Not fleeing,FALSE,Unknown,2015
shot,gun,20,M,White,Onalaska,TX,Not fleeing,FALSE,Guns,2015
shot,unarmed,22,M,Hispanic,Sacramento,CA,Car,FALSE,Unarmed,2015
shot,gun,49,F,White,Glendale,AZ,Not fleeing,FALSE,Guns,2015
shot,gun,64,M,White,Tallahassee,FL,Not fleeing,FALSE,Guns,2015
shot,knife,47,M,White,Bakersfield,CA,Not fleeing,FALSE,Sharp objects,2015
shot,box cutter,39,M,White,Lawrence County,AL,Not fleeing,TRUE,Sharp objects,2015
shot,unarmed,18,M,Black,Cleveland,OH,Not fleeing,FALSE,Unarmed,2015
shot,gun,31,M,White,Middleton,ID,Not fleeing,TRUE,Guns,2015
shot,gun,16,M,Black,Jacksonville,FL,Car,FALSE,Guns,2015
shot,unarmed,20,M,White,Sumas,WA,Not fleeing,FALSE,Unarmed,2015
shot,gun,36,M,White,Bakersfield,CA,Not fleeing,FALSE,Guns,2015
shot,machete,63,M,Black,New Orleans,LA,Not fleeing,FALSE,Sharp objects,2015
shot,gun,34,M,White,Coal County,OK,Not fleeing,FALSE,Guns,2015
shot,gun,24,M,Native,Red Valley,AZ,Car,FALSE,Guns,2015
shot,gun,21,M,White,Cottonwood,AZ,Not fleeing,FALSE,Guns,2015
shot,gun,44,M,White,Clarendon,NY,Car,FALSE,Guns,2015
shot,gun,60,M,White,Harmony,IN,Not fleeing,FALSE,Guns,2015
shot,gun,42,M,White,Columbus,OH,Not fleeing,FALSE,Guns,2015
shot,knife,37,M,White,Vallejo,CA,Not fleeing,FALSE,Sharp objects,2015
shot and Tasered,knife,36,M,White,Portland,OR,Foot,FALSE,Sharp objects,2015
shot and Tasered,unknown,21,M,Black,Islip,NY,Car,FALSE,Unknown,2015
shot,gun,24,M,Black,Santa Clara,CA,Not fleeing,FALSE,Guns,2015
shot,gun,29,M,Black,Portsmouth,VA,Car,FALSE,Guns,2015
shot,gun,57,M,White,San Jose,CA,Not fleeing,FALSE,Guns,2015
shot,gun,38,M,White,Fond du Lac,WI,Not fleeing,FALSE,Guns,2015
shot,unknown,23,M,Black,Smyrna,GA,Car,TRUE,Unknown,2015
shot,gun,27,M,Black,Johnsonville,SC,Foot,FALSE,Guns,2015
shot,gun,28,M,Hispanic,South Los Angeles,CA,Foot,FALSE,Guns,2015
shot and Tasered,gun,63,M,White,Glendale,AZ,Not fleeing,FALSE,Guns,2015
shot,gun,53,F,White,Gardner,KS,Not fleeing,FALSE,Guns,2015
shot,knife,35,M,Hispanic,Wilmington,CA,Not fleeing,FALSE,Sharp objects,2015
shot,knife,26,F,Black,Oxnard,CA,Not fleeing,FALSE,Sharp objects,2015
shot,gun,42,M,White,Fort Ashby,WV,Car,FALSE,Guns,2015
shot,gun,41,M,Black,Boston,MA,Not fleeing,FALSE,Guns,2015
shot,gun,56,M,White,Encinitas,CA,Not fleeing,FALSE,Guns,2015
shot,knife,39,M,Black,Fort Pierce,FL,Not fleeing,FALSE,Sharp objects,2015
shot,toy weapon,23,M,Hispanic,Bakersfield,CA,Car,FALSE,Other unusual objects,2015
shot,gun,40,M,White,Webster,MA,Foot,FALSE,Guns,2015
shot,gun,29,M,Black,Elizabethtown,KY,Not fleeing,FALSE,Guns,2015
shot,unknown,26,M,White,Jasper,OH,Car,FALSE,Unknown,2015
shot,gun,49,M,White,Eugene,OR,Not fleeing,FALSE,Guns,2015
shot,gun,36,M,White,Carollwood,FL,Not fleeing,FALSE,Guns,2015
shot,toy weapon,21,M,Hispanic,Baytown,TX,Not fleeing,FALSE,Other unusual objects,2015
shot,unknown,27,F,Black,Fort Meade,MD,Car,FALSE,Unknown,2015
shot,gun,37,M,Black,Hawthorne,CA,Not fleeing,FALSE,Guns,2015
shot,knife,36,M,White,Hamilton,NJ,Not fleeing,FALSE,Sharp objects,2015
shot,gun,32,M,Black,Rock Island,IL,Foot,FALSE,Guns,2015
shot,unarmed,44,M,Black,Tulsa,OK,Not fleeing,FALSE,Unarmed,2015
shot,gun,27,M,White,Pineville,LA,Not fleeing,FALSE,Guns,2015
shot and Tasered,gun,63,M,White,Metropolis,IL,Not fleeing,FALSE,Guns,2015
shot,knife,38,M,White,Winchester,VA,Not fleeing,TRUE,Sharp objects,2015
shot,gun,17,M,Black,Zion,IL,Foot,FALSE,Guns,2015
shot,gun,31,M,Black,Orange,CA,Not fleeing,TRUE,Guns,2015
shot,gun,34,M,White,Edgewood,NM,Car,FALSE,Guns,2015
shot and Tasered,unarmed,50,M,Black,North Charleston,SC,Foot,FALSE,Unarmed,2015
shot,knife,51,M,White,Phoenix,AZ,Not fleeing,FALSE,Sharp objects,2015
shot,gun,56,M,White,Tehachapi,CA,Not fleeing,FALSE,Guns,2015
shot,gun,23,M,White,Indianapolis,IN,Not fleeing,FALSE,Guns,2015
shot,gun,25,M,Black,Harvey,LA,Foot,FALSE,Guns,2015
shot,gun,31,M,White,Jefferson County,ID,Car,FALSE,Guns,2015
shot,gun,32,M,White,Pottawatomie County,OK,Car,FALSE,Guns,2015
shot,gun,60,M,White,San Antonio,TX,Car,FALSE,Guns,2015
shot,unknown,42,M,Black,Valdosta,GA,Car,FALSE,Unknown,2015
shot,gun,39,M,Hispanic,Los Angeles,CA,Foot,FALSE,Guns,2015
shot,knife,28,M,Asian,Sunnyvale,CA,Not fleeing,FALSE,Sharp objects,2015
shot,sword,22,M,White,Navarre,FL,Not fleeing,FALSE,Sharp objects,2015
shot,gun,29,M,Black,Monon,IN,Car,FALSE,Guns,2015
shot,gun,31,M,White,Straban Township,PA,Not fleeing,FALSE,Guns,2015
shot,gun,28,M,White,Boiling Springs,SC,Not fleeing,FALSE,Guns,2015
shot,knife,21,M,Hispanic,Corning,CA,Not fleeing,FALSE,Sharp objects,2015
shot,gun,38,M,White,Topeka,KS,Car,FALSE,Guns,2015
shot,gun,66,M,White,Sand Springs,OK,Not fleeing,TRUE,Guns,2015
shot,gun,36,M,Black,Indianapolis,IN,Foot,TRUE,Guns,2015
shot,machete,83,M,White,Oklahoma City,OK,Not fleeing,FALSE,Sharp objects,2015
shot,gun,32,M,White,Salemburg,NC,Car,FALSE,Guns,2015
shot,gun,27,M,Hispanic,Alton,IL,Not fleeing,FALSE,Guns,2015
shot,unknown,26,M,Black,DeSoto,TX,Foot,FALSE,Unknown,2015
shot,machete,31,M,White,Jonesboro,AR,Not fleeing,FALSE,Sharp objects,2015
shot,gun,22,M,Black,Miami,FL,Foot,FALSE,Guns,2015
shot,knife,41,M,Black,Spartanburg,SC,Not fleeing,FALSE,Sharp objects,2015
shot,unarmed,41,M,Black,Houston,TX,Car,FALSE,Unarmed,2015
shot,toy weapon,51,M,White,Columbia,MO,Car,TRUE,Other unusual objects,2015
shot,gun,72,M,White,Cañon City,CO,Not fleeing,FALSE,Guns,2015
shot,toy weapon,52,M,Hispanic,Montclair,CA,Not fleeing,FALSE,Other unusual objects,2015
shot,knife,47,M,Hispanic,Shafter,CA,Not fleeing,FALSE,Sharp objects,2015
shot,gun,18,M,Black,Chicago,IL,Foot,FALSE,Guns,2015
shot,gun,29,M,Hispanic,Hemet,CA,Not fleeing,FALSE,Guns,2015
shot,knife,23,M,Black,Jennings,MO,Not fleeing,TRUE,Sharp objects,2015
shot,gun,43,M,Hispanic,Phoenix,AZ,Not fleeing,FALSE,Guns,2015
shot,gun,45,M,White,Panama City,FL,Not fleeing,FALSE,Guns,2015
shot,gun,40,M,White,Wilmore,KY,Not fleeing,FALSE,Guns,2015
shot,knife,44,M,White,Sidney,NE,Not fleeing,FALSE,Sharp objects,2015
shot,gun,25,M,Hispanic,Mission,TX,Not fleeing,FALSE,Guns,2015
shot,unarmed,37,M,Native,Lakewood,WA,Foot,FALSE,Unarmed,2015
shot,knife,59,M,White,Irmo,SC,Not fleeing,FALSE,Sharp objects,2015
shot,knife,35,M,Hispanic,Los Angeles,CA,Not fleeing,FALSE,Sharp objects,2015
shot,unknown,35,M,Black,Trenton,NJ,Not fleeing,FALSE,Unknown,2015
shot,unarmed,18,M,Black,Portsmouth,VA,Not fleeing,FALSE,Unarmed,2015
shot,knife,51,M,Hispanic,Bisbee,AZ,Not fleeing,FALSE,Sharp objects,2015
shot,gun,30,M,White,Queens,NY,Foot,FALSE,Guns,2015
shot,gun,31,M,Black,Fort Worth,TX,Foot,FALSE,Guns,2015
shot,gun,39,M,Asian,Eldorado Springs,CO,Not fleeing,FALSE,Guns,2015
shot,gun,26,M,White,Sylmar,CA,Not fleeing,FALSE,Guns,2015
shot,gun,51,M,White,Rufe,OK,Not fleeing,FALSE,Guns,2015
shot,unarmed,19,M,Hispanic,Long Beach,CA,Not fleeing,FALSE,Unarmed,2015
shot,unknown,46,F,White,Windsor,CA,Car,FALSE,Unknown,2015
shot,gun,49,M,White,Eugene,OR,Not fleeing,FALSE,Guns,2015
shot,gun,63,M,White,Miami,OK,Car,FALSE,Guns,2015
shot,gun,20,M,Black,Trinidad,CO,Foot,TRUE,Guns,2015
shot,machete,25,M,White,Victoria,TX,Not fleeing,TRUE,Sharp objects,2015
shot,unarmed,24,M,Black,New York,NY,Foot,FALSE,Unarmed,2015
shot,knife,58,M,White,Clermont,FL,Not fleeing,FALSE,Sharp objects,2015
shot,unarmed,29,M,White,Bunch,OK,Not fleeing,FALSE,Unarmed,2015
shot,gun,76,M,White,Kings County,CA,Not fleeing,FALSE,Guns,2015
shot,gun,45,M,White,Fountain Valley,CA,Not fleeing,FALSE,Guns,2015
shot,hammer,20,M,Black,Detroit,MI,Not fleeing,FALSE,Blunt instruments,2015
shot,gun,58,M,White,Mansfield,OH,Not fleeing,FALSE,Guns,2015
shot,gun,21,M,Black,New Orleans,LA,Not fleeing,TRUE,Guns,2015
shot,gun,27,M,White,Marion,IL,Not fleeing,FALSE,Guns,2015
shot,knife,26,M,White,Chickasha,OK,Foot,FALSE,Sharp objects,2015
shot,gun,33,M,Hispanic,Mesa,AZ,Not fleeing,FALSE,Guns,2015
shot,gun,27,M,Hispanic,Elk Grove,CA,Not fleeing,FALSE,Guns,2015
shot,gun,25,F,Black,Atlanta,GA,Not fleeing,FALSE,Guns,2015
shot,gun,53,M,Black,Emporia,VA,Not fleeing,FALSE,Guns,2015
shot,gun,53,M,White,Nashville,TN,Not fleeing,FALSE,Guns,2015
shot,unarmed,42,M,Other,San Diego,CA,Not fleeing,TRUE,Unarmed,2015
shot and Tasered,metal object,22,M,Hispanic,El Paso,TX,Not fleeing,FALSE,Blunt instruments,2015
shot,gun,52,M,White,Smyrna,DE,Not fleeing,TRUE,Guns,2015
shot,gun,36,M,White,Roosevelt,UT,Not fleeing,TRUE,Guns,2015
shot,gun,30,M,Black,Garland,TX,Not fleeing,FALSE,Guns,2015
shot,gun,34,M,Other,Garland,TX,Not fleeing,FALSE,Guns,2015
shot,gun,44,M,Hispanic,Albuquerque,NM,Not fleeing,FALSE,Guns,2015
shot,gun,53,M,White,Chavies,KY,Not fleeing,FALSE,Guns,2015
shot,toy weapon,36,M,White,Kennewick,WA,Not fleeing,FALSE,Other unusual objects,2015
shot,unarmed,29,M,Black,Venice,CA,Not fleeing,TRUE,Unarmed,2015
