manner_of_death,armed,age,gender,race,city,state,flee,body_camera,arms_category,year
shot,knife,46,M,Black,Orange,NJ,Foot,FALSE,Sharp objects,2019
shot,gun,22,M,Black,Hollywood,FL,Car,FALSE,Guns,2019
shot,gun,20,M,Black,Penn Hills,PA,Foot,FALSE,Guns,2019
shot,gun,30,M,Black,Dallas,TX,Not fleeing,FALSE,Guns,2019
shot,gun,49,M,Black,Baltimore,MD,Not fleeing,TRUE,Guns,2019
shot,toy weapon,43,M,White,Salt Lake City,UT,Not fleeing,TRUE,Other unusual objects,2019
shot,knife,52,M,Hispanic,Chino Hills,CA,Not fleeing,FALSE,Sharp objects,2019
shot,gun,56,M,White,Porterdale,GA,Not fleeing,FALSE,Guns,2019
shot,gun,36,M,White,Lake Jackson,TX,Car,FALSE,Guns,2019
shot,gun,40,F,White,Lake Jackson,TX,Car,FALSE,Guns,2019
shot,toy weapon,52,M,Black,Modesto,CA,Not fleeing,TRUE,Other unusual objects,2019
shot,gun,35,M,White,McAlester,OK,Car,FALSE,Guns,2019
shot,gun,35,M,Black,Birmingham,AL,Foot,FALSE,Guns,2019
shot,knife,53,M,Hispanic,Pueblo,CO,Not fleeing,FALSE,Sharp objects,2019
shot,gun,23,M,Black,Metairie,LA,Not fleeing,FALSE,Guns,2019
shot,gun,19,M,Black,Fort Worth,TX,Not fleeing,TRUE,Guns,2019
shot,garden tool,41,M,Hispanic,Pemberton,NJ,Other,FALSE,Blunt instruments,2019
shot,gun,39,M,White,League City,TX,Not fleeing,FALSE,Guns,2019
shot,knife,28,F,Hispanic,Albuquerque,NM,Not fleeing,FALSE,Sharp objects,2019
shot,gun,28,M,Black,Tacoma,WA,Not fleeing,FALSE,Guns,2019
shot,gun,37.1179309,M,Black,Wesson,MS,Other,FALSE,Guns,2019
shot,gun,53,M,White,Ranburne,AL,Not fleeing,FALSE,Guns,2019
shot,scissors,27,M,White,Asbury Park,NJ,Not fleeing,FALSE,Sharp objects,2019
shot,gun,31,M,Black,Ross Township,PA,Not fleeing,FALSE,Guns,2019
shot,gun,38,M,Hispanic,Colorado Springs,CO,Car,FALSE,Guns,2019
shot,unarmed,38,M,Black,Port Allen,LA,Other,FALSE,Unarmed,2019
shot,gun,41,M,Hispanic,Hartford,CT,Car,TRUE,Guns,2019
shot,gun,49,M,White,Three Springs,PA,Not fleeing,FALSE,Guns,2019
shot,gun,56,M,White,Sun City,SC,Not fleeing,FALSE,Guns,2019
shot,gun,62,M,Hispanic,Boyton Beach,FL,Not fleeing,FALSE,Guns,2019
shot,ax,31,M,White,Portland,OR,Other,FALSE,Blunt instruments,2019
shot,unknown,37,M,White,Roy,UT,Other,FALSE,Unknown,2019
shot,gun,37.1179309,M,Hispanic,San Antonio,TX,Not fleeing,FALSE,Guns,2019
shot,gun,28,M,White,Council Bluffs,IA,Car,FALSE,Guns,2019
shot and Tasered,knife,46,M,Asian,Austin,TX,Not fleeing,FALSE,Sharp objects,2019
shot,gun,21,M,Black,Los Angeles,CA,Foot,FALSE,Guns,2019
shot,unarmed,30,F,White,Arlington,TX,Not fleeing,FALSE,Unarmed,2019
shot,gun,36,M,White,Charleston,WV,Other,FALSE,Guns,2019
shot,knife,48,M,White,Tampa,FL,Not fleeing,FALSE,Sharp objects,2019
shot,gun,34,M,Black,Minneapolis,MN,Not fleeing,TRUE,Guns,2019
shot,gun,45,M,Black,Indianapolis,IN,Not fleeing,FALSE,Guns,2019
shot,gun,19,M,Black,Colorado Springs,CO,Foot,TRUE,Guns,2019
shot,gun,32,M,Hispanic,Revere,MA,Car,FALSE,Guns,2019
shot,gun,32,M,White,Carson City,NV,Not fleeing,FALSE,Guns,2019
shot,gun,24,M,White,Dayton,OH,Not fleeing,FALSE,Guns,2019
shot,gun,65,M,White,Hanceville,AL,Not fleeing,FALSE,Guns,2019
shot,gun,29,M,Hispanic,Salt Lake City,UT,Not fleeing,TRUE,Guns,2019
shot,knife,49,M,Black,Memphis,TN,Foot,FALSE,Sharp objects,2019
shot,vehicle,19,M,Hispanic,Bakersfield,CA,Car,FALSE,Vehicles,2019
shot,gun,56,M,White,Lowell,AR,Not fleeing,FALSE,Guns,2019
shot,gun,39,M,Black,Irvington,NJ,Not fleeing,FALSE,Guns,2019
shot,gun,43,M,White,Pocahontas County,WV,Car,FALSE,Guns,2019
shot,gun,57,M,White,Rifle,CO,Foot,FALSE,Guns,2019
shot,gun,49,M,White,Shaler Township,PA,Not fleeing,FALSE,Guns,2019
shot,gun,18,M,Black,Longview,TX,Not fleeing,FALSE,Guns,2019
shot,gun,27,M,Black,Moss Point,MS,Foot,TRUE,Guns,2019
shot,machete,52,M,Hispanic,Garland,TX,Not fleeing,FALSE,Sharp objects,2019
shot,gun and vehicle,37,M,Hispanic,Kansas City,MO,Foot,FALSE,Multiple,2019
shot,gun,45,M,White,Augusta,GA,Car,FALSE,Guns,2019
shot,gun,49,M,White,Riverside,CA,Not fleeing,FALSE,Guns,2019
shot,gun,38,M,White,Chetopa,KS,Not fleeing,FALSE,Guns,2019
